Affected,Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
Y,MAIN,PRE,69,3-Jul-14,731063,8561386,AAA,YEW,,,,,,
Y,MAIN,PRE,70,4-Jul-14,731345,8559666,GWE,YBY,,,,,,
Y,MAIN,PRE,71,4-Jul-14,731547,8560946,GYW,AGF,WBW,,,,,
Y,MAIN,PRE,72,5-Jul-14,731092,8561037,BBF,YYF,BWA,EGW,,,,
Y,MAIN,PRE,73,5-Jul-14,731522,8559824,EEF,FFG,WYA,YBY,,,,
Y,MAIN,PRE,74,6-Jul-14,730692,8560452,YFE,EXE,,,,,,
Y,MAIN,PRE,75,6-Jul-14,731298,8559760,GWE,FFG,,,,,,
Y,MAIN,PRE,76,7-Jul-14,731182,8561483,AAA,YEW,,,,,,
Y,EARLY,POST,77,7-Jul-14,731186,8562798,AFY,FEA,GGE,FBF,YWB,,,
Y,MAIN,PRE,78,7-Jul-14,731262,8561415,BBF,YYF,BWA,EGW,,,,
Y,MAIN,PRE,79,13-Jul-14,731181,8562255,EWE,AAY,,,,,,
Y,MAIN,PRE,80,13-Jul-14,731425,8561296,GAG,XXY,,,,,,
Y,MAIN,PRE,81,13-Jul-14,730670,8560358,YFE,FEE,,,,,,
Y,MAIN,PRE,82,13-Jul-14,731543,8560826,GYW,AGF,WBW,,,,,
Y,EARLY,POST,83,13-Jul-14,731735,8562928,BGB,BWB,,,,,,
Y,MAIN,PRE,84,13-Jul-14,731648,8561030,GYW,AGF,WBW,,,,,
Y,MAIN,PRE,85,14-Jul-14,731060,8562247,EWE,FYA,,,,,,
Y,MAIN,PRE,86,14-Jul-14,731181,8562255,EWE,AAY,,,,,,
Y,MAIN,PRE,87,15-Jul-14,730695,8562411,BWE,YBF,,,,,,
Y,EARLY,POST,88,14-Jul-14,731721,8563208,AFY,FEA,GGE,FBF,YWB,,,
Y,EARLY,POST,89,15-Jul-14,731734,8563158,AFY,FEA,GGE,FBF,YWB,,,
Y,MAIN,PRE,90,16-Jul-14,731574,8560844,WBW,GYW,AGF,,,,,
Y,EARLY,POST,91,16-Jul-14,731720,8562560,BGB,BWB,,,,,,
Y,EARLY,POST,92,16-Jul-14,731728,8562560,BGB,BWB,,,,,,
Y,MAIN,PRE,93,17-Jul-14,730698,8560641,WEY,BAF,,,,,,
Y,MAIN,PRE,94,17-Jul-14,731692,8560988,GYW,AGF,WBW,,,,,
Y,EARLY,POST,95,17-Jul-14,731261,8562735,AFY,FEA,YWB,FBF,GGE,,,
Y,MAIN,POST,96,18-Jul-14,730678,8560390,BAF,WEY,,,,,,
Y,MAIN,POST,97,19-Jul-14,730997,8561496,AAA,YEW,,,,,,
Y,MAIN,POST,98,19-Jul-14,731081,8561679,AAA,YEW,,,,,,
Y,EARLY,POST,99,19-Jul-14,731250,8562822,AFY,FEA,YWB,FBF,GGE,,,
Y,EARLY,POST,100,19-Jul-14,731270,8562804,AFY,FEA,YWB,FBF,GGE,,,
Y,EARLY,POST,101,20-Jul-14,730574,8560198,YFE,BAF,WEY,XXX,,,,
Y,EARLY,POST,102,20-Jul-14,730575,8560168,YFE,BAF,WEY,XXX,,,,
Y,EARLY,POST,103,20-Jul-14,730607,8560216,YFE,BAF,WEY,,,,,
Y,EARLY,POST,104,20-Jul-14,731243,8561481,AWW,WYW,BBF,YYF,BWA,EGW,BAA,
Y,EARLY,POST,105,20-Jul-14,731315,8561542,BAA,BBF,BWA,YYF,EGW,WYW,,
Y,EARLY,POST,106,21-Jul-14,730518,8561962,YAF,FWF,,,,,,
Y,EARLY,POST,107,21-Jul-14,730576,8561991,YAF,FWF,,,,,,
Y,EARLY,POST,108,21-Jul-14,730705,8562711,BWE,YBF,,,,,,
Y,EARLY,POST,109,21-Jul-14,730539,8563350,AFF,EWW,EGE,,,,,
Y,EARLY,POST,110,21-Jul-14,730928,8563334,AFF,EWW,EGE,,,,,
Y,MAIN,POST,111,21-Jul-14,731101,8561912,AAA,AAY,EWE,FYA,AAY,YEW,,
Y,MAIN,POST,112,21-Jul-14,730575,8560088,BAF,YFE,,,,,,
Y,MAIN,POST,113,21-Jul-14,730561,8560074,BAF,WEY,YFE,,,,,
Y,MAIN,POST,114,21-Jul-14,731466,8561696,AWW,WYW,,,,,,
Y,MAIN,POST,115,21-Jul-14,730576,8560080,BAF,YFE,,,,,,
Y,EARLY,POST,116,22-Jul-14,730829,8563228,AFF,EWW,EGE,,,,,
Y,MAIN,POST,117,22-Jul-14,730847,8562898,BWE,YBF,,,,,,
Y,MAIN,POST,118,22-Jul-14,730618,8562120,BWY,EAE,,,,,,
Y,MAIN,POST,119,23-Jul-14,731377,8561564,AWW,WYW,,,,,,
Y,MAIN,POST,120,23-Jul-14,731058,8561706,YEW,AAA,,,,,,
Y,EARLY,POST,121,24-Jul-14,730833,8563220,AFF,EWW,EGE,,,,,
Y,EARLY,POST,122,23-Jul-14,730858,8563318,AFF,EWW,EGE,,,,,
Y,EARLY,POST,123,23-Jul-14,731268,8562724,FBF,FEA,YWB,AFY,GGE,,,
Y,MAIN,POST,124,23-Jul-14,732301,8560786,GBA,YEY,WGW,UNB1,UNB2,UNB3,WFY,
Y,MAIN,POST,125,23-Jul-14,730544,8559984,BAF,YFE,EXE,XXX,WEY,,,
Y,MAIN,PRE,126,,731056,8562358,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,127,,731108,8532354,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,128,,731152,8562344,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,129,,731192,8562324,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,130,,731262,8562304,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,131,,731277,8562214,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,132,,731234,8562218,FYA,EWE,AAY,,,,,
Y,MAIN,PRE,133,,731166,8562214,EWE,AAY,,,,,,
Y,MAIN,POST,134,24-Jul-14,731137,8561628,AAA,WFW,WYW,AWW,YEW,,,
Y,MAIN,POST,135,24-Jul-14,731278,8561550,YEW,WYW,,,,,,
Y,MAIN,POST,136,24-Jul-14,731281,8561582,AAA,WFW,AWW,,,,,
Y,EARLY,POST,137,24-Jul-14,730886,8563340,EGE,AFF,,,,,,
Y,EARLY,POST,138,24-Jul-14,731253,8562840,FBF,FEA,YWB,AFY,GGE,,,
Y,EARLY,POST,139,24-Jul-14,731444,8562835,FBF,FEA,YWB,AFY,GGE,,,
Y,EARLY,POST,140,24-Jul-14,731258,8562738,FBF,FEA,YWB,AFY,GGE,,,
Y,MAIN,POST,141,24-Jul-14,731039,8561738,YEW,AAA,,,,,,
Y,MAIN,POST,142,25-Jul-14,730577,8559694,BAF,YFE,WEY,XXX,EXE,GYG,XAY,
Y,MAIN,POST,143,25-Jul-14,730573,8559915,BAF,YFE,WEY,XXX,EXE,GYG,XAY,
Y,MAIN,POST,144,26-Jul-14,730894,8562844,BWE,YBF,,,,,,
Y,MAIN,POST,145,26-Jul-14,731225,8561518,YEW,AAA,WYW,,,,,
Y,MAIN,POST,146,26-Jul-14,730919,8562827,BWE,YBF,,,,,,
Y,MAIN,POST,147,26-Jul-14,731256,8561623,AAA,WFW,WYW,YEW,AWW,,,
Y,MAIN,POST,148,26-Jul-14,731263,8560756,BAA,YYF,YFE,BWA,EGW,BBF,,
Y,MAIN,POST,149,26-Jul-14,731675,8560991,AGF,WBW,GAG,XXY,GYW,,,
Y,MAIN,POST,150,27-Jul-14,731142,8562160,AAY,EWE,FYA,,,,,
Y,MAIN,POST,151,27-Jul-14,731267,8561506,YEW,AAA,WYW,,,,,
Y,EARLY,POST,152,27-Jul-14,731185,8563272,FBF,FEA,YWB,AFY,GGE,,,
Y,MAIN,POST,153,27-Jul-14,730907,8563322,EGE,AFF,EWW,,,,,
Y,MAIN,POST,154,27-Jul-14,731778,8562387,EEB,GEG,GGA,EYF,,,,
Y,MAIN,POST,155,28-Jul-14,731007,8562184,FYA,AAY,EWE,,,,,
Y,MAIN,POST,156,29-Jul-14,730498,8559996,BAF,YFE,XXX,EXE,,,,
Y,EARLY,POST,157,29-Jul-14,730846,8563274,AFF,EGE,EWW,,,,,
Y,EARLY,POST,158,29-Jul-14,730912,8563248,AFF,EGE,EWW,,,,,
Y,EARLY,POST,159,30-Jul-14,730890,8563238,AFF,EGE,,,,,,
Y,MAIN,POST,160,31-Jul-14,731237,8561513,AAA,WYW,YEW,,,,,
Y,MAIN,POST,161,1-Aug-14,731307,8561547,AWW,WFW,,,,,,
Y,MAIN,POST,162,2-Aug-14,730881,8562124,AAY,FYA,EWE,,,,,
Y,MAIN,POST,163,3-Aug-14,731089,8562200,AAY,EWE,FYA,,,,,
Y,MAIN,POST,164,3-Aug-14,731440,8559556,EEF,WYA,FFG,YBY,GWE,,,
Y,MAIN,POST,165,3-Aug-14,731400,8559576,EEF,WYA,FFG,YBY,GWE,,,
Y,MAIN,POST,166,3-Aug-14,731108,8560940,BAA,YYF,EGW,BWA,BBF,,,
Y,EARLY,POST,167,3-Aug-14,731267,8563263,FBF,FEA,YWB,AFY,GGE,,,
Y,MAIN,POST,168,3-Aug-14,731112,8560896,EGW,BWA,,,,,,
Y,EARLY,POST,169,3-Aug-14,731274,8563244,GGE,FEA,,,,,,
Y,MAIN,POST,170,7-Aug-14,731343,8561592,AWW,WFW,,,,,,
Y,MAIN,POST,171,8-Aug-14,731197,8561583,YEW,AAA,,,,,,
Y,MAIN,POST,172,8-Aug-14,732244,8561004,GBA,YEY,WGW,UNB1,UNB2,UNB3,WFY,
Y,MAIN,POST,173,13-Aug-14,731641,8561037,GYW,AGF,WBW,,,,,
Y,MAIN,POST,174,14-Aug-14,731409,8559540,EEF,GWE,WYA,FFG,YBY,,,
Y,MAIN,POST,175,26-Jul-14,,,EEB,GEG,GGA,EYF,,,,
